Date,Percentage of people aged 12 years and over that have received a first dose,Percentage of people aged 12 years and over that have received a second dose,Percentage of people aged 12 years and over that have received three or more doses
10/01/2021,4,0.7,nan
12/01/2021,4.6,0.7,nan
14/01/2021,5.6,0.8,nan
16/01/2021,6.7,0.8,nan
18/01/2021,7.4,0.8,nan
20/01/2021,8.6,0.8,nan
22/01/2021,10.2,0.8,nan
24/01/2021,11.4,0.8,nan
26/01/2021,12.5,0.8,nan
28/01/2021,13.7,0.8,nan
30/01/2021,15.6,0.9,nan
01/02/2021,16.8,0.9,nan
03/02/2021,18.2,0.9,nan
05/02/2021,19.9,0.9,nan
07/02/2021,21.4,0.9,nan
09/02/2021,22.7,0.9,nan
11/02/2021,24.4,0.9,nan
13/02/2021,26.2,0.9,nan
15/02/2021,27.1,0.9,nan
17/02/2021,28.6,1,nan
19/02/2021,30,1.1,nan
21/02/2021,30.8,1.1,nan
23/02/2021,31.7,1.2,nan
25/02/2021,33.3,1.3,nan
27/02/2021,34.9,1.4,nan
01/03/2021,35.6,1.5,nan
03/03/2021,36.5,1.7,nan
05/03/2021,37.9,1.9,nan
07/03/2021,38.9,2,nan
09/03/2021,39.7,2.2,nan
11/03/2021,40.5,2.5,nan
13/03/2021,42.1,2.8,nan
15/03/2021,43.2,2.9,nan
17/03/2021,44.8,3.3,nan
19/03/2021,46.7,3.7,nan
21/03/2021,48.7,4,nan
23/03/2021,49.8,4.4,nan
25/03/2021,51,5.2,nan
27/03/2021,52.4,6.1,nan
29/03/2021,53.4,6.7,nan
31/03/2021,54.2,7.8,nan
02/04/2021,54.6,9.1,nan
04/04/2021,54.9,9.4,nan
06/04/2021,55.1,9.9,nan
08/04/2021,55.5,11.4,nan
10/04/2021,55.9,13,nan
12/04/2021,56.1,13.7,nan
14/04/2021,56.4,14.8,nan
16/04/2021,56.9,16.4,nan
18/04/2021,57.3,17.7,nan
20/04/2021,57.6,18.7,nan
22/04/2021,58.1,20.2,nan
24/04/2021,58.6,22,nan
26/04/2021,58.9,23,nan
28/04/2021,59.3,24.4,nan
30/04/2021,59.8,26,nan
02/05/2021,60.2,27,nan
04/05/2021,60.5,27.6,nan
06/05/2021,61,29.2,nan
08/05/2021,61.5,30.7,nan
10/05/2021,61.9,31.5,nan
12/05/2021,62.4,32.8,nan
14/05/2021,63.2,34.3,nan
16/05/2021,63.8,35.3,nan
18/05/2021,64.3,36.3,nan
20/05/2021,65.2,37.7,nan
22/05/2021,66,39.4,nan
24/05/2021,66.4,40.4,nan
26/05/2021,67.1,41.8,nan
28/05/2021,67.9,43.3,nan
30/05/2021,68.5,44.4,nan
01/06/2021,68.8,45.3,nan
03/06/2021,69.5,46.6,nan
05/06/2021,70.1,48.1,nan
07/06/2021,70.6,49.1,nan
09/06/2021,71.1,50.2,nan
11/06/2021,71.8,51.2,nan
13/06/2021,72.5,52.1,nan
15/06/2021,73.1,52.9,nan
17/06/2021,73.8,53.7,nan
19/06/2021,74.7,54.5,nan
21/06/2021,75,54.8,nan
23/06/2021,75.9,55.5,nan
25/06/2021,76.7,56.1,nan
27/06/2021,77.3,56.7,nan
29/06/2021,77.8,57.2,nan
01/07/2021,78.3,57.8,nan
03/07/2021,78.7,58.5,nan
05/07/2021,79,58.9,nan
07/07/2021,79.3,59.5,nan
09/07/2021,79.6,60.1,nan
11/07/2021,79.9,60.6,nan
13/07/2021,80.1,61.1,nan
15/07/2021,80.3,61.8,nan
17/07/2021,80.5,62.5,nan
19/07/2021,80.6,63,nan
21/07/2021,80.7,63.6,nan
23/07/2021,80.9,64.3,nan
25/07/2021,81,64.8,nan
27/07/2021,81.1,65.4,nan
29/07/2021,81.3,66,nan
31/07/2021,81.4,66.6,nan
02/08/2021,81.5,67.1,nan
04/08/2021,81.6,67.6,nan
06/08/2021,81.7,68.2,nan
08/08/2021,81.8,68.8,nan
10/08/2021,82,69.3,nan
12/08/2021,82.1,69.9,nan
14/08/2021,82.3,70.6,nan
16/08/2021,82.4,71,nan
18/08/2021,82.5,71.6,nan
20/08/2021,82.7,72.2,nan
22/08/2021,82.9,72.7,nan
24/08/2021,83.1,73.2,nan
26/08/2021,83.3,73.7,nan
28/08/2021,83.5,74.2,nan
30/08/2021,83.5,74.4,nan
01/09/2021,83.7,74.8,nan
03/09/2021,83.8,75.2,nan
05/09/2021,83.9,75.6,nan
07/09/2021,84,75.9,nan
09/09/2021,84.1,76.2,nan
11/09/2021,84.2,76.5,nan
13/09/2021,84.3,76.7,nan
15/09/2021,84.3,76.9,nan
17/09/2021,84.4,77.1,nan
